job_title,company_name,company_location,work_method,post_date,work_time
"Insights Analyst (Bangkok Based, relocation provided)",Agoda,"Salvador, Bahia, Brasil",Híbrido,há 3 semanas,Tempo integral · Assistente
Python Development Analyst,Tata Consultancy Services,Brasil,Híbrido,há 1 semana,Tempo integral · Pleno-sênior
Data Scientist,Telsign Consultoria em Telecom e TI,"São Paulo, São Paulo, Brasil",Remoto,há 2 semanas,Tempo integral
Business Analytics,Insider Store,"São Paulo, Brasil",Híbrido,há 6 dias,Tempo integral · Assistente
Project Management Intern,ANDRITZ,Brasil,Remoto,há 1 mês,Tempo integral · Assistente
Engenheiro de Dados Sr.,PagBank PagSeguro,São Paulo e Região,Remoto,há 4 dias,Tempo integral · Pleno-sênior
Data Technology Consultant,Microsoft,"Roraima, Brasil",Remoto,há 4 semanas,Tempo integral · Júnior
"Software Development Engineer, Intech",Amazon,"São Paulo, São Paulo, Brasil",Presencial,há 4 dias,Tempo integral · Assistente
Intern Data Consultant - Sao Paulo - October 2022,Artefact,"São Paulo, São Paulo, Brasil",Remoto,há 1 semana,Tempo integral · Assistente
Data Engineer - Online Job,Oowlish,"Rio de Janeiro, Brasil",Remoto,há 3 dias,Tempo integral · Assistente
Data Engineer,IBM,"São Paulo, São Paulo, Brasil",Presencial,há 2 semanas,Tempo integral · Assistente
Cientista de Dados Pleno,Engesoftware Tecnologia S.A,"Brasília, Distrito Federal, Brasil",Híbrido,há 3 dias,Tempo integral
Python Developer - Remote - Latin America,FullStack Labs,"Belo Horizonte, Minas Gerais, Brasil",Remoto,há 2 semanas,Tempo integral · Pleno-sênior
Scala Engineer - Remote - Latin America,FullStack Labs,"São Paulo, São Paulo, Brasil",Híbrido,há 2 semanas,Tempo integral · Assistente
Remote Backend Python Developer (2) Jobs,Turing.com,Brasil,Remoto,há 2 dias,Tempo integral · Assistente
"Software Development Engineer (Role based in Luxembourg), Amazon Fulfillment Technologies - External Fulfillment",Amazon,"São Paulo, São Paulo, Brasil",Presencial,há 3 dias,Tempo integral · Assistente
Data Technology Consultant,Microsoft,"Recife, Pernambuco, Brasil",Remoto,há 5 dias,Tempo integral · Assistente
LiveOps Data Science - QuantumBlack Labs,"QuantumBlack, AI by McKinsey","São Paulo, São Paulo, Brasil",Híbrido,há 3 semanas,Tempo integral
Kafka Developer (Remoto),IBM,"São Paulo, São Paulo, Brasil",Remoto,há 1 semana,Temporário
"Senior Associate, Machine Learning Engineer",Bain & Company,"São Paulo, São Paulo, Brasil",Remoto,há 1 semana,Tempo integral · Pleno-sênior
"Software Developer Engineer, INTech",Amazon,"São Paulo, São Paulo, Brasil",Remoto,há 3 dias,Tempo integral · Pleno-sênior
Consultant OTC Data Resource,Tech Mahindra - Brasil,"São Paulo, Brasil",Híbrido,há 6 dias,Tempo integral
"Senior Analyst (Bangkok Based, relocation provided)",Agoda,"São Paulo, São Paulo, Brasil",Remoto,há 1 mês,Tempo integral · Assistente
"Lead, Business Analyst",Think Research,"Can-Can, Bahia, Brasil",Híbrido,há 1 semana,Tempo integral · Pleno-sênior
Especialista de Dados,Bullla - De gente pra gente,"São Paulo, São Paulo, Brasil",Presencial,há 1 semana,Tempo integral · Pleno-sênior
Data Engineer,Corteva Agriscience,"São Paulo, São Paulo, Brasil",Presencial,há 1 mês,Tempo integral · Pleno-sênior
Specialist Data Engineer,Pipefy,Brasil,Remoto,há 2 semanas,Tempo integral · Pleno-sênior
Data Technology Consultant,Microsoft,"Espírito Santo, Brasil",Híbrido,há 3 dias,Tempo integral · Executivo
"Software Development Engineer, Finance Technology",Amazon,"São Paulo, São Paulo, Brasil",Híbrido,há 2 semanas,Tempo integral
"Business Analyst (Bangkok Based, relocation provided)",Agoda,"Porto Alegre, Rio Grande do Sul, Brasil",Híbrido,há 1 semana,Tempo integral · Pleno-sênior
Remote Data Analytics and Operations Associate Jobs,Turing.com,Brasil,Remoto,há 1 mês,Tempo integral · Assistente
GCP Engenheiro de Dados,Capgemini,"São Paulo, São Paulo, Brasil",Remoto,há 3 semanas,Tempo integral · Pleno-sênior
Engenheiro de Dados Júnior,Laureate Brasil,Brasil,Remoto,há 2 semanas,Tempo integral · Pleno-sênior
Software Engineer I,FIS,"São Paulo, São Paulo, Brasil",Presencial,há 1 semana,Tempo integral · Pleno-sênior
