,job_title,company_name,company_location,work_method,role,bachelor,masters,phd,no_diploma,python,sql,nosql,java,julia,matlab,tensorflow,tableau,powerbi,qlikview,excel,cloud,work_type
780,Analista de Dados Pl.(Remoto),Ituran Brasil,"São Paulo, São Paulo, Brasil",Híbrido,Analista de Dados,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,Tempo integral
781,Analista de BI Pleno,Music2/Mynd,"São Paulo, São Paulo, Brasil",Híbrido,Analista de Dados,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,Tempo integral
782,Risk Analyst,Gympass,São Paulo e Região,Remoto,Analista de Dados,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,Tempo integral
783,Analista de Planejamento Comercial I Foco em Dados - Exclusivo para Profissionais com Deficiência,Rede,"São Paulo, São Paulo, Brasil",Presencial,Analista de Dados,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,Tempo integral
784,Cientista de Dados Sr (vaga afirmativa para Mulheres),Alelo Brasil,Brasil,Remoto,Cientista de Dados,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,Tempo integral
787,"Data Analyst (Statistics/Python/BI) (Bangkok-based, relocation provided)",Agoda,"Belo Horizonte, Minas Gerais, Brasil",Remoto,Analista de Dados,1,0,0,0,1,1,0,1,0,0,0,1,1,0,0,0,Tempo integral
788,Analista de Dados Pleno,Brivia,"Belo Horizonte, Minas Gerais, Brasil",Presencial,Analista de Dados,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Tempo integral
789,Sr Data Science Systems Engineer (Brazil),SAS,"São Paulo, São Paulo, Brasil",Remoto,Engenheiro de Dados,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,Tempo integral
790,Data Technology Consultant,Microsoft,"São Luís, Maranhão, Brasil",Presencial,Cientista de Dados,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,Tempo integral
791,Business Analyst (6 vagas) - 2022.2,Gradus Consultoria de Gestão,"São Paulo, Brasil",Remoto,Analista BI,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,Tempo integral
792,"Analyst (Bangkok Based, relocation provided)",Agoda,Belém e Região,Presencial,Analista de Dados,1,0,0,0,1,1,0,1,0,0,0,1,1,0,0,0,Tempo integral
794,Engenheiro de Dados,innolevels,"Rio de Janeiro, Rio de Janeiro, Brasil",Híbrido,Engenheiro de Dados,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,Tempo integral
795,Remote Data Scientist Jobs,Turing.com,Brasil,Remoto,Cientista de Dados,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,Tempo integral
799,Product Analyst,Confidential,"São Paulo, São Paulo, Brasil",Híbrido,Analista de Dados,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tempo integral
800,Engenheiro de Dados,Jump Label Solutions,"São Paulo, Brasil",Presencial,Engenheiro de Dados,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,Tempo integral
801,Remote Machine Learning Data Scientist Jobs,Turing.com,Brasil,Híbrido,Cientista de Dados,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,Tempo integral
802,Statistical Programmer,Labcorp,"Sertãozinho, São Paulo, Brasil",Remoto,Cientista de Dados,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,Tempo integral
803,Engenheiro de Machine Learning II (Produtos Digitais) - Vaga Afirmativa para Talentos Diversos,Grupo Boticário,Brasil,Híbrido,Engenheiro de Dados,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,Tempo integral
804,"Data Scientist, Strategic Research",Spotify,Brasil,Remoto,Cientista de Dados,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,0,Tempo integral
806,Analista de Dados - BI,Ligga,Londrina e Região,Remoto,Analista de Dados,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Tempo integral
807,Analista de inteligência empresarial,Adecco,"Barueri, São Paulo, Brasil",Remoto,Analista de Dados,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,Tempo integral
808,Engenheiro de Dados Sênior - Azure,EY,"São Paulo, São Paulo, Brasil",Híbrido,Engenheiro de Dados,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,Tempo integral
809,Remote AI Researcher Jobs,Turing.com,Brasil,Remoto,Cientista de Dados,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,Tempo integral
810,Analista de Dados e Sistemas,Hospital Pequeno Principe,"Curitiba, Paraná, Brasil",Remoto,Analista de Dados,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Tempo integral
811,ENGENHEIRO DE MACHINE LEARNING SR (100% REMOTO),ClearSale,"São Paulo, São Paulo, Brasil",Presencial,Engenheiro de Dados,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,Tempo integral
812,Business Analyst - ADM (Remoto),IBM,"Rio de Janeiro, Rio de Janeiro, Brasil",Presencial,Analista BI,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,Tempo integral
815,"Analyst & Senior Analyst- Pay Per Click, Marketing (Bangkok Based, relocation provided)",Agoda,"São Paulo, São Paulo, Brasil",Presencial,Analista de Dados,1,0,0,0,1,1,0,1,0,0,0,1,1,0,0,0,Tempo integral
816,Data Engineer II - Fintech,Amazon,"São Paulo, São Paulo, Brasil",Híbrido,Engenheiro de Dados,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,1,Tempo integral
819,Especialista Engenheiro de Dados,ViaHub,"São Paulo, São Paulo, Brasil",Híbrido,Engenheiro de Dados,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,Tempo integral
820,Consultor(a) Business Analytics (Qlik) - São Paulo,Deloitte,"São Paulo, São Paulo, Brasil",Presencial,Analista BI,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,Tempo integral
823,Technical Product Owner Analyst II (Product Discovery),Dock,Brasil,Híbrido,Analista de Dados,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Tempo integral
826,Engenheiro de Dados,Stefanini Brasil,"Brasília, Distrito Federal, Brasil",Presencial,Engenheiro de Dados,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,Tempo integral
827,Big Data Engineer (Scala-Spark),Applaudo,São Paulo e Região,Híbrido,Engenheiro de Dados,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,Tempo integral
